product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Bear Naked - Fruit and Nutty Goodie Bag,Breakfast-granola,0.0,c,1950.0,20.0,5.0,23.3,6.67,10.0,0.0,9.0
"Blueberry, artisan almond milk yogurt",Almond-milk-yogurt,4.0,b,473.0,7.33,1.0,9.33,0.0,3.33,0.01016,1.0
"Dairy-Free Frozen Dessert, Cardamon Pistachio",Surgelés,3.0,b,968.0,13.7,1.05,11.6,2.11,3.16,0.0401,1.0
Carolina Sauce ,Epicerie,1.0,d,506.0,0.0,0.0,24.2,0.0,0.0,1.92,14.0
Citrus Chia Power Snacks,Snacks sucrés,0.0,b,1795.0,6.0,1.0,8.0,3.0,3.0,0.0127,1.0
Hi - protein Pancake & Baking Mix,Gaufres,2.0,a,1456.0,1.0,0.0,0.0,3.0,12.0,0.8128,-2.0
Gluten-free Beer Bratwurst,Saucisses,1.0,e,1180.0,23.94,8.45,1.0,0.0,9.0,2.1463,20.0
Dessert au Soya • Sojasun,Dessert-au-soya-saveur-chocolat,3.0,b,456.0,2.0,0.5,15.9,0.8,3.6,0.1524,1.0
"Pea, Ham & Leek Soup with a hint of mint",Soupes,2.0,a,188.0,1.1,0.6,1.8,1.6,3.1,0.6858,-1.0
Lemon Puff,Biscuits,5.0,d,1850.0,14.8,7.9,1.1,3.0,9.5,1.1,12.0
Cheddar Style Shreds,Cheese-analogues,5.0,d,1350.0,21.4,7.14,0.0,3.57,3.57,2.27,15.0
Goldfish Backed Snack Crackers Cheddar,Snacks salés,4.0,d,1880.0,16.0,3.21,0.0,3.21,9.62,2.04,12.0
Honey Bunches of Oats,Petit-déjeuners,2.0,c,1700.0,7.81,0.0,18.8,6.25,6.25,1.07,8.0
GoGo Squeez Apple Apple,Desserts,0.0,a,277.0,0.0,0.0,13.2,1.1,0.0,0.0,-4.0
Baked Fries Cheddar,Snacks,4.0,c,1940.0,16.1,1.79,7.14,3.57,7.14,1.63,9.0
Lamb Seekh Kebab,Surgelés,1.0,d,942.0,16.9,7.04,1.41,1.41,12.7,2.0,15.0
Quinoa Cookies,Cookies,1.0,d,1950.0,20.0,10.0,16.7,3.33,3.33,0.55,15.0
Greek Yogurt Blueberry on the bottom,Yaourts,2.0,a,363.0,0.0,0.0,10.0,0.667,8.0,0.102,-1.0
"Chobani Greek yogurt, fat free, lemon",Yaourts,2.0,a,320.0,0.0,0.0,10.0,0.0,7.65,0.149,-2.0
Chobani Greek Yogurt Raspberry,Yaourts,1.0,a,363.0,0.0,0.0,10.7,0.667,8.0,0.102,-1.0
Chobani Greek Yogurt,Yaourts,0.0,a,238.0,0.0,0.0,2.64,0.0,9.69,0.11684,-5.0
Chobani Greek Yogurt Pomegranate,Yaourts,2.0,a,335.0,0.0,0.0,10.0,0.0,8.0,0.1016,-2.0
Chobani Greek Yogurt Black Cherry,Yaourts,2.0,a,363.0,0.0,0.0,11.3,0.667,8.0,0.11,-1.0
Chobani Greek Yogurt Strawberry on the bottom,Yaourts,2.0,a,335.0,0.0,0.0,10.0,0.667,8.0,0.102,-2.0
Pulled Chicken,Plats à base de viande,1.0,c,443.0,1.32,0.0,14.6,0.662,5.96,0.874,4.0
Organic Pasta Sauce,Epicerie,0.0,c,148.0,0.885,0.0,3.54,0.885,0.885,0.989,3.0
Siggi's Orange & Ginger 0% Milk-fat Icelandic Style Skyr,Fromages,1.0,a,334.0,0.0,0.0,5.99,0.0,11.3,0.093,-4.0
Vanilla Icelandic style Skyr,Yaourts,0.0,a,280.0,0.0,0.0,6.0,0.0,9.33,0.1016,-4.0
Eau de Coco Naturelle,Boissons,1.0,d,75.0,0.0,0.0,5.0,0.0,0.0,0.02,7.0
VitaCoco Café,Boissons,1.0,d,178.0,0.909,0.606,5.76,0.0,1.82,0.139,9.0
Savoy Cabbage,Savoy-cabbage,0.0,a,133.0,0.4,0.1,4.0,2.4,1.7,0.0,-4.0
Maris Piper Potatoes,Maris-piper-potatoes,0.0,a,345.0,0.1,0.1,0.8,1.6,1.8,0.01,-2.0
houmous,Produits à tartiner salés,0.0,b,1323.0,27.2,2.6,0.6,4.8,7.7,1.1,0.0
Radish,Légumes frais,0.0,a,59.0,0.2,0.1,1.9,0.9,0.7,0.1,-6.0
Cherry tomatoes,Tomates,0.0,a,84.0,0.3,0.1,3.1,1.0,0.7,0.1,-6.0
Limes,Fruits,0.0,a,83.0,0.3,0.0,3.2,0.0,1.0,0.0,-5.0
Couscous,Plats préparés,0.0,b,670.0,7.6,1.3,3.6,2.5,2.7,0.59944,0.0
Organic tenderleaf salad,Salad,0.0,a,88.0,0.6,0.1,1.6,1.8,1.4,0.0,-2.0
Simple mixed leaf salad,Salad,0.0,a,72.0,0.5,0.1,1.7,1.4,0.8,0.0,-1.0
Activia,Yaourts,0.0,b,261.0,3.44,2.24,4.4,0.0,3.44,0.122,0.0
Dimes apricot,Nectars de fruits,0.0,d,231.4,0.2,0.2,13.1,0.5,0.32,0.0071882,7.0
Special Flakes Chocolate,Petit-déjeuners,1.0,c,1716.0,6.7,3.8,16.5,4.0,11.5,0.55,8.0
Riz Basmati Complet,Riz,0.0,a,1537.0,2.6,0.8,0.5,3.5,10.8,0.0,-5.0
Red onions,Légumes frais,0.0,a,173.0,0.2,0.1,5.6,1.4,1.2,0.01,-5.0
Corn Kernels,Corn-kernels,0.0,a,272.0,0.8,0.2,2.8,2.3,2.8,0.3302,-3.0
Organic brown rice & quinoa fusilli pasta,Pâtes alimentaires,0.0,a,1490.0,2.68,0.0,0.0,3.57,8.93,0.0,-6.0
Crayfish tails,Crustacés,3.0,c,327.0,0.8,0.1,0.0,0.0,17.0,1.9,3.0
Whole Champignons,Champignons,0.0,a,142.0,0.5,0.1,1.0,5.5,3.7,1.14808,-7.0
Mesclun (5/6 portions),Légumes frais,0.0,a,75.0,0.5,0.11,0.18,1.49,2.2,0.174,-8.0
Garbanzos categoría extra,Conserves,1.0,a,427.0,1.8,0.1,1.7,4.2,5.4,0.7,-4.0
"Les Crozets, Génépi",Pâtes alimentaires,0.0,a,1550.0,2.7,0.8,2.8,2.7,13.0,0.10414,-4.0
"Haricots verts extra-fins, cueillis et rangés mains",Conserves,0.0,a,78.0,0.0,0.0,1.0,2.3,1.5,0.762,-5.0
Orange Pamplemousse à la Framboise,Jus de fruits,0.0,c,182.0,0.2,0.12,8.8,1.0,0.6,0.04,2.0
Sarrasin Soufflé au Miel Bio,Petit-déjeuners,0.0,c,1657.0,3.8,2.3,27.6,4.5,5.2,0.03,7.0
Galettes de sarrasin aux graines de lin,Crêpes et galettes,0.0,a,1615.0,4.2,0.8,0.2,7.7,11.6,0.5,-4.0
Dryck Lingon,Boissons,2.0,e,151.0,0.0,0.0,8.9,0.0,0.5,0.0,12.0
"Ebly, le blé gourmand",Aliments et boissons à base de végétaux,0.0,a,1456.0,1.4,0.7,1.6,6.1,12.1,0.0254,-6.0
Köttbullar med Potatismos Och Gräddsås,Surgelés,5.0,c,660.0,10.0,4.0,2.1,0.0,8.1,1.1,3.0
Glace à la Vanille de Madagascar ,Glaces,5.0,c,1766.0,4.2,2.8,13.0,0.0,1.4,0.06,9.0
Royal Cheese,Sandwichs,0.0,d,1070.0,13.5,6.77,4.83,1.45,15.5,1.26,13.0
Brasserie burger,Pains,1.0,b,1151.0,5.0,0.5,4.5,1.5,7.5,1.1938,2.0
Crumpets,Crumpets,5.0,c,791.0,1.0,0.3,2.6,2.3,5.6,2.032,4.0
Best vanille/Amande/Caramel au beurre salé,Glaces,4.0,d,1090.0,15.8,9.5,24.8,0.8,3.5,0.178,16.0
Sushi Maki Kawaï,Surgelés,2.0,c,169.0,6.02,2.04,4.84,1.58,6.11,1.43,4.0
Coca Cola,Sodas,2.0,e,180.0,0.0,0.0,10.6,0.0,0.0,0.0,14.0
Bifidus brassé aux fruits,Yaourts brassés,7.0,c,429.0,2.9,2.0,14.2,0.3,4.1,0.127,3.0
Infusión de hierbas en bolsitas,Infusions,0.0,c,3.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0
lacti pause nature sucré,Yaourts à boire,0.0,b,284.0,1.6,1.0,10.5,0.5,2.7,0.1016,1.0
Chips Saveur Foie Gras,Chips et frites,0.0,d,2248.0,34.0,3.0,1.0,4.7,5.0,1.89992,11.0
Sauce salade,Epicerie,5.0,d,761.0,19.1,1.08,1.1,0.2,1.0,2.39776,13.0
Big Mac,Sandwichs,1.0,c,964.0,12.0,4.5,3.9,1.4,12.0,1.0,4.0
Croque McDo,Sandwichs,0.0,d,1140.0,10.4,6.0,5.47,2.11,14.7,2.0,14.0
Zumo de manzana exprimido ecológico &quot;GutBio&quot;,Jus de pomme,0.0,c,187.0,0.5,0.1,11.0,0.5,0.5,0.0508,5.0
Pizza Géante Chorizo,Surgelés,1.0,b,961.0,9.1,3.1,2.5,2.2,8.9,1.2192,2.0
"Lait demi-écrémé (1,2 % MG)",Laits,0.0,b,192.0,1.5,1.0,4.8,0.0,3.2,0.1143,0.0
Le Lait Entier,Laits,0.0,b,269.0,3.6,2.2,4.8,0.0,3.2,0.1016,2.0
Lait stérilisé UHT demi-écrémé ,Laits,0.0,b,192.0,1.5,1.0,4.8,0.0,3.2,0.1143,0.0
Lait Entier ,Laits,0.0,b,269.0,3.6,2.2,4.8,0.0,3.2,0.1143,2.0
"Mini Yop, Goût Fraise",Yaourts à boire,0.0,b,324.0,1.3,0.9,12.0,0.0,2.8,0.2794,2.0
Cheeseburger,Sandwichs,0.0,d,1060.0,10.8,5.08,6.08,1.67,13.3,1.42,13.0
Hamburger,Sandwichs,0.0,c,1020.0,8.38,3.33,6.29,1.9,12.4,1.24,10.0
Petite Frite,Chips et frites,0.0,a,1250.0,15.0,1.3,0.4,3.8,3.8,0.499999999999999,-1.0
Royal Deluxe,Sandwichs,0.0,d,1010.0,14.1,5.29,2.64,1.32,13.7,0.925,11.0
Royal Bacon,Sandwichs,0.0,d,1071.0,13.0,6.1,4.1,1.0,17.0,0.81,11.0
Double Cheese,Sandwichs,0.0,d,1081.0,14.0,6.9,4.5,1.2,15.0,1.5,14.0
4 Chicken McNuggets,Produits panés,0.0,c,1050.0,13.0,1.6,0.4,1.4,16.0,1.2,3.0
9 Chicken McNuggets ,Produits panés,0.0,c,1050.0,13.0,1.6,0.4,1.4,16.0,1.2,3.0
20 Chicken McNuggets,Produits panés,0.0,c,1050.0,13.0,1.6,0.4,1.4,16.0,1.2,3.0
Filet-O-Fish,Sandwichs,0.0,b,1020.0,9.8,1.9,3.7,1.5,11.0,1.1,1.0
McWrap Chèvre,Sandwichs,0.0,c,1060.0,12.0,4.63,1.85,1.85,6.94,1.02,9.0
P'tit Wrap Ranch,Sandwichs,0.0,d,1020.0,12.2,2.29,2.29,1.53,10.7,1.94,11.0
P'tite Salade,Légumes frais,0.0,a,126.0,0.0,0.0,2.0,2.0,2.0,0.2,-8.0
P'tites tomates,Tomates,0.0,a,138.0,0.833,0.0,3.0,1.33,0.833,0.0333,-6.0
Deluxe Potatoes Moyenne,Pommes de terre,6.0,a,816.0,9.0,1.0,0.0,3.0,3.0,1.2,-3.0
Grande Deluxe Potatoes,Chips et frites,0.0,b,814.0,8.8,0.9,0.3,2.8,3.5,1.1,1.0
Frites Moyenne,Chips et frites,0.0,a,1250.0,14.9,1.32,0.351,3.68,3.42,0.482,-1.0
Moyen Coca Cola Light,Sodas light,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moyen Coca-Cola,Sodas,0.0,e,178.0,0.0,0.0,11.0,0.0,0.0,0.0,14.0
Sprite,Sodas,3.0,e,126.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0
Lipton Ice Tea Pêche,Boissons,4.0,d,105.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0
Minute Maid (30cl) *,Jus d'orange à base de concentré,0.0,b,188.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0
Escalopes vegetales de soja,Aliments et boissons à base de végétaux,3.0,c,1007.0,11.2,1.4,2.4,3.3,20.2,2.0828,9.0
Salsa de chiles y ajo,Epicerie,1.0,c,342.0,0.9,0.1,11.6,1.8,2.2,1.778,7.0
Setas orejas de judas deshidratadas,Aliments et boissons à base de végétaux,0.0,b,326.0,1.7,0.25,8.6,0.2,3.2,0.02,0.0
Setas de ostra deshidratadas,Aliments et boissons à base de végétaux,0.0,b,326.0,1.7,0.25,8.6,0.2,3.2,0.02,0.0
Mijo,Aliments et boissons à base de végétaux,0.0,a,1525.0,3.9,1.0,2.2,3.8,10.6,0.0254,-6.0
Fresas congeladas &quot;Golden Fruit&quot;,Surgelés,0.0,a,147.0,0.3,0.1,5.1,2.5,0.9,0.0254,-7.0
Hinojo en bolsitas,Epices,0.0,c,5.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0
Mélange Persil/Ail coupé surgelé prêt à l'emploi (même code barre que 26030890),Condiments,0.0,a,304.0,0.3,0.09,9.3,3.2,4.4,0.0508,-9.0
Sandwich au Thon (Recette Bretonne) [même code barre 26015958 que Sandwich au Thon (Recette Méditerranéenne)],Produits à tartiner salés,6.0,b,836.0,16.0,0.3,1.5,0.7,11.0,1.27,2.0
Bruschetta con tomates,Produits à tartiner,0.0,d,1718.0,42.7,5.1,2.1,3.4,1.3,1.9812,14.0
Bruschetta con olivas,Produits à tartiner,1.0,d,1610.0,41.6,3.1,0.7,3.1,1.1,2.032,11.0
Jus de pomme à base de concentré,Jus de pomme,0.0,c,180.0,0.1,0.1,9.8,0.1,0.1,0.1,3.0
Sauce Classic Barbecue,Epicerie,2.0,d,557.0,0.0,0.0,30.0,0.0,0.0,2.30124,17.0
Pampryl Orange,Jus d'orange,0.0,c,193.0,0.0,0.0,9.0,0.0,0.8,0.0,3.0
Sauce Pepper,Epicerie,2.0,d,1540.0,32.0,4.0,4.0,0.0,0.9,2.0,15.0
Chopped Tomato Carla,Chopeed-tomatoes,0.0,b,83.0,0.5,0.0,0.3,0.0,1.1,0.254,1.0
Diego ananas mangue,Jus de fruits à base de concentré,2.0,d,232.0,0.3,0.0,12.0,0.1,0.5,0.0,6.0
Colin d'Alaska à la provençale surgelé ,Surgelés,0.0,a,238.0,0.8,0.2,2.2,0.7,8.9,0.73,-2.0
Semoule au lait saveur Vanille,Desserts,2.0,c,510.0,4.3,2.8,18.0,0.0,3.4,0.1016,4.0
Mezcla de frutas tropicales congeladas &quot;Golden Fruit&quot;,Surgelés,0.0,a,293.0,0.2,0.1,11.9,1.3,0.7,0.0254,-4.0
Sainsbury's Macaroni 1kg,Macaroni,0.0,a,1515.0,1.7,0.5,3.5,2.5,12.3,0.0254,-4.0
Sainsbury's 12 Year Old Oloroso Sherry,Boissons,0.0,e,636.0,0.0,0.0,1.1,0.0,0.2,2.286,20.0
Mon Bio à Boire à la paille Fraise-Mûre,Yaourts à boire,0.0,b,274.0,1.7,1.1,9.3,0.0,2.9,0.1,2.0
Mantecados de aceite de oliva &quot;DOR&quot;,es:Pan-y-reposteria,0.0,c,1976.0,20.8,2.9,26.5,2.1,5.8,0.127,10.0
campagnole barilla,it:Biscotti,3.0,d,1933.0,17.0,9.0,22.0,3.0,6.4,0.87376,16.0
Les Supérieures,Pâtes alimentaires,0.0,a,1527.0,2.0,0.35,3.7,3.6,13.0,0.0127,-6.0
Piña &quot;Agropen&quot;,Fruits,0.0,a,209.0,0.0,0.0,10.0,4.0,1.0,0.0,-8.0
Carla Diced Chopped Tomatoes,Aliments-d-origine-vegetale,0.0,a,83.0,0.0,0.0,2.9,0.9,11.0,0.0,-6.0
Carla Chopped Tomatoes ,it:Aliments-d-origine-vegetale,0.0,a,196.0,0.0001,0.21,2.9,0.9,1.97,0.0,-2.0
Hachis Parmienter Family,Plats à base de viande,6.0,c,547.0,6.7,3.2,1.3,1.0,5.9,0.8128,3.0
Chicken Fingers Schar,Volailles,4.0,d,972.0,11.6,2.0,0.0,2.0,13.2,2.48,11.0
Croûtons à l'ail,Pains,0.0,d,2163.0,28.9,3.0,3.5,3.3,8.5,1.74,11.0
Cuisine Avoine,Creme-a-l-avoine-biologique,2.0,a,586.0,10.0,1.0,3.0,1.5,1.0,0.16,-1.0
riz thai,Riz,0.0,b,1496.0,1.0,0.1,0.0,0.0,7.8,0.0,0.0
Grande Frite,Chips et frites,0.0,a,1249.0,15.0,1.3,0.3,3.7,3.4,0.48,-1.0
Galettes de céréales,Aliments et boissons à base de végétaux,0.0,a,1025.0,11.0,2.4,0.9,5.7,7.7,1.0,-5.0
Croq' Soja,Galette-de-soja,2.0,a,669.0,8.2,1.6,2.1,7.0,14.0,1.2,-3.0
Pepito pepites,Gâteaux,7.0,e,1850.0,24.0,11.0,28.0,3.0,5.0,0.833,20.0
P'tite pomme 100% françaises,Fruits,1.0,a,225.0,0.0,0.0,11.0,2.0,0.0,0.01,-5.0
Mc Chicken,Sandwichs,0.0,b,953.0,9.74,1.18,3.28,1.38,10.8,0.974,1.0
Boeuf Ranch Moutarde,Sandwichs,0.0,c,987.0,13.0,5.1,3.3,1.5,13.0,0.87,3.0
6 Chicken McNuggets,Produits panés,0.0,c,1050.0,13.0,1.6,0.4,1.4,16.0,1.2,3.0
Grand Double Cheese,Sandwichs,0.0,d,1111.0,14.0,6.9,4.2,1.2,16.0,1.3,13.0
Poulet Ranch Ketchup,Sandwichs,0.0,c,936.0,9.2,2.1,4.7,1.7,11.0,1.2,3.0
L'Ananas à croquer,Fruits,0.0,a,202.0,0.2,0.0,10.0,1.6,0.5,0.0,-5.0
Pain grillé au blé complet,Pains,1.0,a,1619.0,4.0,0.4,4.2,7.5,11.0,1.3,-1.0
280 recette Originale,Sandwichs,0.0,d,1035.0,13.0,6.1,2.1,1.1,14.0,1.1,12.0
280 sauce au poivre vert,Sandwichs,0.0,d,1104.0,14.0,6.5,2.0,1.4,15.0,1.1,12.0
Poêlée périgourdine,Melange-de-pommes-de-terre-prefrites,0.0,a,556.0,5.9,1.7,1.5,2.6,4.6,0.58,-1.0
California & Chicken,Sandwichs,0.0,c,1041.0,12.0,3.1,3.0,1.9,11.0,1.2,9.0
Twister Fries (moyenne portion),Chips et frites,0.0,c,1111.0,14.0,1.2,2.0,2.5,3.7,2.0,9.0
McFlurry M&M's,Glaces,0.0,c,818.0,6.9,3.4,25.0,0.6,4.6,0.11,8.0
Morning Time,Infusions,0.0,c,10.0,0.0,0.0,0.1,0.0,0.08,0.0,2.0
Duo de melons,Fruits,0.0,a,136.0,0.1,0.0,5.9,0.9,0.7,0.03,-5.0
Le P'tit Tex Mex,Sandwichs,0.0,c,962.0,10.5,3.23,3.23,1.61,7.26,0.969,3.0
Grand Premium Fries (moyenne portion),Chips et frites,0.0,b,987.0,12.0,1.1,0.0,3.3,3.3,0.76,0.0
Berlingo Pomme,Desserts,0.0,a,244.0,0.1,0.0,13.0,1.1,0.3,0.0,-4.0
Jeunes carottes,Conserves,0.0,a,127.0,0.7,0.1,3.5,2.0,0.4,0.23,-6.0
CBO,Sandwichs,0.0,c,1080.0,13.5,3.03,2.83,1.55,10.8,1.2,9.0
280 sauce Moutarde de Dijon,Sandwichs,0.0,d,1079.0,14.0,6.0,1.0,1.0,15.0,1.0,11.0
Grand Big Mac Chicken,Sandwichs,0.0,c,919.0,8.61,2.19,3.61,1.11,11.1,1.19,3.0
Grand Big Mac,Sandwichs,0.0,d,986.0,12.0,5.1,15.0,1.7,14.0,0.97,12.0
Légumes pour couscous biologique,Conserves,0.0,a,116.0,0.4,0.1,0.8,2.2,1.4,0.55,-6.0
McFish,Sandwichs,0.0,b,960.0,5.97,0.726,6.37,1.85,11.3,1.13,0.0
Trio de pommes,Fruits,2.0,a,225.0,0.25,0.0,11.2,2.0,0.25,0.0125,-5.0
Big Tasty,Sandwichs,0.0,d,1030.0,14.9,6.14,3.22,0.877,12.9,1.08,12.0
Le Charolais,Sandwichs,0.0,d,1052.0,12.0,5.4,1.2,1.0,13.0,1.2,12.0
Winter fries (moyenne portion),Chips et frites,0.0,a,983.0,12.0,1.5,0.0,3.6,3.6,0.8,-1.0
McWrap Poulet et Bacon,Sandwichs,0.0,b,981.0,12.0,2.71,1.94,1.16,10.5,0.736,1.0
Sauce Classic Chinoise,Epicerie,2.0,d,697.0,0.0,0.0,30.0,0.0,0.0,1.3,13.0
Salade Chicken Caesar,Salades composées,5.0,b,393.0,5.0,2.8,0.4,1.2,11.7,0.77,0.0
Les Moulinés de Fruits Pomme Ananas,Desserts,2.0,a,297.0,0.5,0.2,12.9,0.0,0.5,0.1,-3.0
Poisson Ranch,Sandwichs,0.0,b,1002.0,11.0,3.6,4.0,1.6,11.0,1.1,2.0
Petit Beurre,Petits beurres,2.0,d,1980.0,15.0,3.5,22.0,2.0,6.0,0.9,13.0
Compote Pommes-Abricots allégée en sucre,Desserts,1.0,a,272.0,0.5,0.1,12.0,1.1,0.5,0.01,-4.0
Grand Premium (Boeuf),Sandwichs,0.0,d,1180.0,17.0,6.2,4.0,1.2,15.0,0.81,11.0
Original Sweet Mustard,Sandwichs,0.0,d,1026.0,13.0,7.0,5.0,1.5,12.0,0.92,12.0
confiture abricots,Confitures,0.0,b,125.0,11.0,3.0,28.0,2.0,9.0,0.0,0.0
P'tit Bagel,Sandwichs,0.0,c,1051.0,12.0,3.9,3.0,1.6,12.0,0.94,3.0
Ice Squeeze,Glaces,0.0,c,581.0,4.0,2.5,21.0,0.0,3.8,0.13,5.0
Le M,Sandwichs,0.0,d,1010.0,13.0,5.1,1.3,1.2,15.0,0.96,11.0
Le M Bacon,Sandwichs,0.0,d,1034.0,13.0,5.1,1.2,1.2,15.0,0.99,11.0
coquillettes,Pâtes alimentaires,0.0,a,1548.0,2.0,0.35,3.7,3.6,13.0,0.013,-6.0
Purée Pommes Bio,Desserts,1.0,a,222.0,0.5,0.1,11.0,1.4,0.5,0.01,-4.0
McWrap Crevette Sauce au Curry,Sandwichs,0.0,b,985.0,11.0,3.4,2.0,2.0,8.9,1.1,2.0
Le 280 recette au Gruyère de France IGP,Sandwichs,0.0,d,1083.0,14.0,6.1,1.0,1.4,15.0,0.78,11.0
Beef Sweet Peppers,Sandwichs,0.0,d,1103.0,15.0,5.8,3.0,1.3,13.0,1.2,12.0
Hawaii & Fish Burger,Sandwichs,0.0,c,1044.0,12.0,3.5,4.0,1.3,11.0,1.2,10.0
P'tite Nectarine,Fruits,2.0,a,194.0,0.3,0.0,7.9,1.7,1.1,0.01,-6.0
P'tit Hot Dog,Sandwichs,0.0,d,1144.0,14.0,4.8,8.0,1.9,11.0,1.5,12.0
King Prawn Alfredo,Plats préparés,3.0,b,615.0,5.8,3.4,0.8,0.9,6.5,0.6,1.0
Smoky Maple Bacon and Mushroom Stone Baked Pizza,Plats préparés,4.0,b,1016.0,7.4,2.4,4.0,2.3,8.9,0.930000000000001,1.0
Chicken Big Tasty Bacon,Sandwichs,0.0,c,1034.0,14.0,3.7,3.0,1.2,9.7,1.3,10.0
Piccolinis Bolognese,Surgelés,2.0,c,1086.0,11.4,4.2,1.8,1.7,11.1,0.8,3.0
Pollo Arrabiata Parmigiano Wood Fired Pizza,Plats préparés,4.0,b,935.0,9.2,2.5,3.3,1.9,10.1,1.03,1.0
Beef Stroganoff,Plats à base de viande,1.0,a,491.0,7.8,2.9,2.3,1.1,8.5,0.68,-1.0
Les P'tits Yabon,Desserts,2.0,a,331.0,1.29,0.941,7.29,1.06,3.18,0.2,-1.0
Médaillon de Saumon Rose du Pacifique,Saumons,0.0,a,402.0,1.4,0.3,0.0,0.0,20.0,0.83,-1.0
Dinkel Hafer Crunchy,Petit-déjeuners,0.0,c,1837.0,13.0,5.2,13.0,6.3,8.8,0.25,8.0
Sauce Creamy Deluxe,Epicerie,5.0,d,1300.0,32.8,4.0,1.2,0.4,0.8,1.2,11.0
Recette à l'Emmental Français et aux échalottes grillées,Sandwichs,0.0,c,1036.0,11.0,5.1,1.0,2.3,11.0,0.86,8.0
Leche de Almendras Sin Azucar,es:Leche-de-almendras-sin-azucar,4.0,b,54.0,1.1,0.1,0.1,0.4,0.4,0.13,0.0
Recette Cantal AOP sauce à la moutarde à l'ancienne,Sandwichs,0.0,c,1085.0,12.0,5.7,1.0,2.1,12.0,1.1,10.0
Patate hachée brune,Plats préparés,1.0,b,1080.0,15.7,0.714,0.0,2.86,2.86,0.98,2.0
Grand Chicago Chicken,Sandwichs,0.0,c,1010.0,10.0,2.3,4.0,1.3,11.0,1.1,3.0
"Tomacouli 100% tomates fraîches, nature",Epicerie,0.0,a,113.0,0.1,0.05,3.9,1.6,1.2,0.05,-7.0
Grand Chicago Classic,Sandwichs,0.0,d,1015.0,13.0,5.3,4.0,1.4,14.0,0.99,11.0
Tiramisu,Desserts,5.0,d,1035.0,13.5,10.4,22.7,0.9,4.3,0.1,17.0
Burger Bacon & Cheddar fondu,Sandwichs,0.0,d,1214.0,17.0,6.8,5.0,0.9,15.0,1.3,14.0
P'tit Campagne,Sandwichs,1.0,d,1025.0,11.0,4.9,1.0,1.4,13.0,1.2,11.0
Pain au levain,Pain-au-levain,0.0,a,1190.0,2.5,0.5,3.38,3.75,10.4,0.99,-3.0
"Poêlée de gnocchis, tomates, mozzarella",Plats préparés,1.0,b,684.0,3.4,1.1,10.0,2.0,5.3,0.68,2.0
Chabrior biscottes nature,Biscottes,1.0,c,1641.0,2.9,0.3,7.2,3.9,10.7,1.52,6.0
Coco Pops Pépites multi-céréales,Petit-déjeuners,2.0,b,1887.0,17.0,2.5,18.0,4.8,7.2,0.08,1.0
Tarte légumes du soleil,Surgelés,0.0,b,781.0,8.3,1.2,3.7,2.2,3.8,1.04,2.0
Barre nutritionnelle sportive Access,Barre-nutritive,5.0,d,1810.0,16.7,10.0,23.3,3.33,6.67,0.635,17.0
Clusters Crunchy Muesli Chocolat au lait ,Petit-déjeuners,5.0,c,1782.0,12.2,3.1,24.4,7.6,7.8,0.33,9.0
Golden Crisp Chocolat & Noix de Coco,Petit-déjeuners,2.0,c,1799.0,12.0,4.3,14.0,7.5,8.1,0.0,7.0
Brin de Jour - Céréales fourrées spéculoos,Petit-déjeuners,5.0,c,1879.0,16.0,4.0,22.0,4.5,7.5,0.33,8.0
Les P’tits Dodus chocolat noir,Petit-déjeuners,0.0,d,1858.0,16.1,9.4,27.9,3.5,5.6,0.01,16.0
Früchte Müsli,Petit-déjeuners,0.0,c,1513.0,2.3,0.7,22.8,4.9,5.7,0.88,7.0
Whole Wheat Farmhouse Soda Bread,Pains,5.0,a,908.0,1.5,0.2,3.6,5.9,8.0,1.6,-1.0
Céréales fourrées chocolat et goût caramel,Petit-déjeuners,3.0,c,1841.0,14.0,2.0,28.0,5.0,6.0,0.28,8.0
Coupiaguette,Pains,1.0,a,1142.0,0.8,0.1,2.0,3.2,9.2,1.1,-2.0
Pain Bâtard Sélection U,Pains,0.0,a,1118.0,0.5,0.1,2.6,3.2,8.7,1.2,-1.0
baguette à l'ancienne,Pains,0.0,a,983.5,0.6,0.1,2.9,3.5,7.7,1.07,-2.0
Spring Juive,Boissons,0.0,e,163.0,0.0,0.0,8.5,0.0,0.8,0.0,12.0
fettarmer Joghurt mild,Yaourts,0.0,a,263.0,1.5,1.0,6.4,0.0,5.2,0.18,-2.0
Flakers Choco,Petit-déjeuners,0.0,c,1610.0,2.1,1.0,28.8,5.0,8.8,0.6858,7.0
"15 Bâtonnets de poisson (Filet de Colin d'Alaska) ou 15 Bâtonnets de Colin d'Alaska, Surgelé",Produits panés,0.0,b,764.0,7.7,1.1,1.2,1.0,13.0,0.762,0.0
"Filet de Colin dAlaska, Surgelé",Poissons,0.0,a,314.0,0.8,0.1,0.0,0.0,17.0,0.254,-4.0
