product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
100% Mashed Potatoes ,Mashed-potatoes,1.0,a,1640.0,0.0,0.0,0.0,4.35,8.7,0.276,-5.0
Gluten free chex granola mix,Granola-mix,1.0,c,1874.0,15.52,1.72,22.41,6.9,8.62,0.32766,6.0
Soft Baked Oatmeal Squares Cinnamon Brown Sugar,Snacks sucrés,3.0,d,1790.0,14.3,2.86,25.7,5.71,5.71,0.943,11.0
Rice Chex,Petit-déjeuners,2.0,c,1550.0,1.85,0.0,7.41,3.7,7.41,2.07,9.0
Spinach & Ricotta Stonebaked Hand Stretched Pizza,Plats préparés,2.0,b,905.0,6.9,2.4,5.4,2.1,8.0,0.83,2.0
Foco basil seed drink,Sodas,1.0,e,266.0,0.0,0.0,13.3,0.303,0.0,0.0231,18.0
Guava drink,Sodas,1.0,e,192.0,0.0,0.0,11.18,0.0,0.0,0.02794,15.0
Lychee drink,Boissons,1.0,e,187.0,0.0,0.0,11.0,0.0,0.0,0.06,15.0
Soursop Juice,Boissons,3.0,e,184.0,0.0,0.0,11.0,0.0,0.0,0.07874,15.0
Soupe Tom Yum aux légumes,Soupes,1.0,b,307.0,5.33,2.0,3.33,2.0,1.33,0.627,1.0
Coconut water,Coconut-waters,0.0,b,88.0,0.0,0.0,5.0,0.0,0.0,0.0499999999999999,1.0
Premium Ground Bison,Bison,0.0,b,704.0,9.73,3.54,0.0,0.0,20.4,0.135,0.0
6 free range British mixed size eggs Omega 3 enriched,Produits d'élevages,0.0,a,547.0,9.0,2.5,0.1,0.0,12.6,0.381,-1.0
Italian style babyleaf salad,Salad,0.0,b,90.0,0.5,0.1,1.6,1.3,1.3,0.254,0.0
asparagus spears,Légumes tiges,0.0,a,62.0,0.5,0.1,0.1,1.0,1.6,0.070104,-6.0
Semi skimmed British milk,Laits,0.0,b,202.0,1.75,1.15,4.6,0.25,3.5,0.0999,0.0
Jasmine Rice,Riz,1.0,b,1490.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0
soda water,Carbonated-soda-water,1.0,b,4.2,0.5,0.1,0.5,0.5,0.5,0.04,0.0
Whole British Milk,Laits,0.0,b,282.0,4.0,2.6,4.5,0.5,3.3,0.100076,0.0
Great Northern Beans,Conserves,0.0,a,354.0,0.0,0.0,0.0,5.38,5.38,0.703,-4.0
Macaroni N' Cheese,Pâtes alimentaires,6.0,c,1420.0,1.41,0.705,7.05,2.82,11.3,2.04,9.0
Boisson a base de jus de lychee,Boissons,3.0,e,192.0,0.0,0.0,11.3,0.0,0.0,0.0,15.0
Boisson à base de jus de goyave,Boissons,3.0,e,171.0,0.0,0.0,9.9,0.0,0.0,0.1,13.0
Shortbread Cookies,Cookies,3.0,d,2040.0,23.3,5.81,18.6,2.33,4.65,1.36,17.0
4 Stonebread Garlic Breads,Pain-a-l-ail,1.0,d,1330.0,11.9,6.6,2.3,3.1,9.3,2.54,15.0
Multigrain Toaster Waffles,Gaufres,5.0,b,1230.0,11.5,1.28,8.97,2.56,6.41,1.07,2.0
Steam Crisp Extra Sweet Niblets,Conserves,0.0,a,264.0,1.05,0.0,5.26,2.11,2.11,0.535,-6.0
Beef Lasagne,Plats préparés,2.0,b,638.0,8.4,3.6,2.9,2.0,7.9,0.6,0.0
Seeded Pittas,Pitta-bread,2.0,a,1180.0,4.0,0.5,2.7,6.3,8.9,0.8,-4.0
Marinara,Epicerie,1.0,b,234.0,0.8,0.0,5.6,2.4,2.4,0.935,1.0
Hand Cooked Potato Chips,Chips et frites,1.0,d,2126.0,26.8,2.1,2.8,3.7,5.2,2.43,13.0
